title,agency,date
Nursing Home Operator to Pay $48 Million to Resolve Allegations Those Six California Facilities Billed for Unnecessary Therapy,U.S. Department of Justice,
A.G. Schneiderman Announces Plea Of Ringleader In Rochester Oxycontin Ring,New York Attorney General,
Baptist Health Systems Settles Federal False Claims Act Civil Lawsuit,U.S. Attorney,
Orange County Ambulance Company Pays More Than $3 Million to Settle Allegations That it Overbilled Federal Health Care Programs,U.S. Attorney,
Former Personal Care Manager Pleads Guilty in Connection with Billing MassHealth for Services Not Provided,Massachusetts Attorney General,
Attorney General Masto Announces Conviction Of Behavioral Health Company For Medicaid Fraud,Nevada Attorney General,
Ambulance Company Owner and Son Plead Guilty to Conspiracy to Commit Health Care and Wire Fraud,U.S. Attorney,
Staff Pharmacists at Kentwood Pharmacy Sentenced to Stiff Fines on Charges of Misbranding Drugs and Face Exclusion and Debarment from Federal Programs,U.S. Attorney,
Attorney General Bondi's Office Arrests New Port Richey Resident for Medicaid Fraud,Florida Attorney General,
General Conway Announces Arrest Following Investigation by OAG Medicaid Fraud and Abuse Control,Kentucky Attorney General,
General Conway Announces Indictment of Northern Kentucky Doctor,Kentucky Attorney General,
A.G. Schneiderman Announces Charges Of Criminally Negligent Homicide Against Ambulette Driver In Death Of 86-Year-Old Passenger,New York Attorney General,
Humphreys County Woman Must Repay State For TennCare Benefits,Tennessee Department of Finance & Administration,
Mississippi Woman Charged with TennCare Fraud,Tennessee Department of Finance & Administration,
Three People Convicted Of Tenncare Fraud,Tennessee Department of Finance & Administration,
New Orleans Doctor Sentenced For Involvement in Health Care Fraud Scheme,U.S. Attorney,
Personal Care Home Operator in Hattiesburg Arrested Second Time on Exploitation Charges,Mississippi Attorney General,
"Attorney General Masto Announces Sentencing of Yolanda Rodriguez, Las Vegas PersonalCare Assistant",Nevada Attorney General,
Jamaican National Indicted For Fraudulently Receiving Medicaid Benefits,U.S. Attorney,
East Hartford Doctor Convicted Of Medicaid Fraud,Connecticut State Attorney's Office,
Brooklyn Clinic Owner Sentenced for Role in $77 Million Medicare Fraud Scheme,U.S. Department of Justice,
Rutherford Co. Man Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Two Charged With TennCare Fraud In Robertson Co. Roundup,Tennessee Department of Finance & Administration,
California Woman Indicted For Failure to Pay Child Support,U.S. Attorney,
Former Washington Park Trustee and St. Clair County Probation Officer Pleads Guilty To Health Care Fraud,U.S. Attorney,
"Peru, Ill., Physician Indicted on Federal Charges for Allegedly Illegally Dispensing Prescription Medications",U.S. Attorney,
"Attorney General Bondi's Office Prosecutes Miami-Dade County Billing Agent for Defrauding Medicaid Out of Nearly $300,000",Florida Attorney General,
Three Claiborne Co. Residents Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Bellows Falls Man Sentenced For Failure to Pay Child Support,U.S. Attorney,
Beaumont Orthodontist Sentenced for Health Care Fraud Violations,U.S. Attorney,
Former Chief Executive Officer of Hospital for Special Surgery Sentenced In Manhattan Federal Court to 18 Months in Prison for Participating In Fraudulent Kickback Scheme,U.S. Attorney,
Glendale Medicare Biller Sentenced to 18 Months in Prison for Role in Sacramento Area Healthcare Fraud,U.S. Attorney,
Three Handed Sentences for Lengthy Health Care Fraud Conspiracy,U.S. Attorney,
Detroit-Area Home Health Care Agency Owner Sentenced for Role in $2.2 Million Medicare Fraud Scheme,U.S. Department of Justice,
Home Health Agency Owner Sentenced for Role in $13.8 Million Medicare Fraud Scheme,U.S. Department of Justice,
Four Individuals Indicted For Theft of Tribal Funds,U.S. Attorney,
Health Care Service Provider and Others Indicted For Medicaid Fraud,U.S. Attorney,
Local Doctor Pleads Guilty To Making False Statement to Agent,U.S. Attorney,
Manhattan U.S. Attorney Announces $5 Million Settlement of Civil Forfeiture Claim against Dutchess County Medical Practice,U.S. Attorney,
Former Mental-Health Clinic Therapist Sentenced for Role in $55 Million Medicare Fraud Scheme,U.S. Department of Justice,
Patient Broker of South Florida Psychiatric Hospital Sentenced for Role in $67 Million Health Care Fraud Scheme,U.S. Department of Justice,
"Orlando, Fla., Area Hospice to Pay $3 Million to Resolve Allegations That It Billed Medicare for Patients Not Terminally Ill",U.S. Department of Justice,
Davidson Co. Woman To Repay State After Pleading Guilty To TennCare Fraud,Tennessee Department of Finance & Administration,
Knox Co. Woman Charged In Dickson Co. With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Attorney General J.B. Van Hollen Announces Settlement with McKesson and First Databank,Wisconsin Attorney General,
Pharmacist Sentenced For Distributing Misbranded Drug for Kidney Dialysis Patients,U.S. Attorney,
Ramsey Man Pleads Guilty To Health Care Fraud,U.S. Attorney,
Two Plead Guilty In Connection With Sunshine Pharmacy Health Care Fraud Scheme,U.S. Attorney,
Woman Convicted at Trial For Role in Nearly $3 Million Health Care Fraud Scheme Involving the Operation of Euless Healthcare Corp. is Sentenced to 72 Months in Federal Prison,U.S. Attorney,
Johnson & Johnson to Pay More Than $2.2 Billion to Resolve Criminal and Civil Investigations Allegations Include Off-label Marketing and Kickbacks to Doctors and Pharmacists,U.S. Department of Justice,
Plainville Woman Charged with Scheming to Defraud Medicaid,Connecticut State Attorney's Office,
"Attorney General Masto Announces Sentencing of Williams, a Las Vegas Behavior Health Worker",Nevada Attorney General,
A.G. Schneiderman Announces Arrest of Doctor for Writing Prescriptions In Exchange For Cash and Sexually Explicit Photos,New York Attorney General,
Dutchess County Orthopedic Surgeon Pleads Guilty To Multimillion Dollar Health Care Fraud Scheme,U.S. Attorney,
Owner and Marketer of Louisiana Medical Equipment Supply Company Indicted for Roles in $3 Million Medicare Fraud Scheme,U.S. Department of Justice,
Carroll Co. Woman Sentenced To Prison For TennCare Fraud,Tennessee Department of Finance & Administration,
Jackson Co. Woman Charged 2nd Time With TennCare Fraud,Tennessee Department of Finance & Administration,
Owner of Texas-based Ambulance Service Convicted of Health Care Fraud,U.S. Department of Justice,
Baltimore County Caregiver Convicted of Abuse of a Vulnerable Adult,Maryland Attorney General,
"Raleigh woman pleads guilty to defrauding Medicaid of nearly $500,000",North Carolina Attorney General,
"Oklahoma City Psychiatrist to Serve 30 Months in Federal Prison and Pay $20,000 Fine for HealthCare Fraud",U.S. Attorney,
"Owner of St. Anthony Hospital Agrees to Pay $475,000 to Settle Civil Claims of Improper Billing for Inpatient Services That Should Have Been Outpatient",U.S. Attorney,
Thirteen Members Of Pharmacy Burglary Ring Charged With Stealing And Distributing Millions Of Dollars' Worth Of Prescription-Controlled Substances And Hundreds Of Thousands Of Dollars In Cash,U.S. Attorney,
Former Veterans Affairs Psychiatrist Pleads Guilty to Medicare Fraud,U.S. Department of Justice,
"Owner of In-Home Care Business Sentenced to Jail, Company to Pay $3.3 Million for Billing MassHealth for Services not Provided",Massachusetts Attorney General,
Booneville Couple Arrested for False Pretense and Embezzlement,Mississippi Attorney General,
Attorney General Fox Announces Medicaid Fraud Case Successfully Prosecuted,Montana Attorney General,
Hawkins Co. Man Charged With TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
Centralia Man Pleads Guilty To Health Care Fraud,U.S. Attorney,
Illinois Man Arrested for Alleged Role in $12 Million Health Care Fraud Scheme,U.S. Department of Justice,
Owners and Supervisor of Ambulance Transportation Company Plead Guilty In Los Angeles For Role in Ambulance Fraud Scheme,U.S. Department of Justice,
Attorney General Masto Announces Sentencing of Husband and Wife Involved with Group Home,Nevada Attorney General,
Sullivan Co. Woman Charged with TennCare Fraud,Tennessee Department of Finance & Administration,
Milwaukee Man Bound Over for Trial on Charges of Medicaid Fraud and Forgery,Wisconsin Attorney General,
Alleged Hacker Charged in Virginia with Breaching Multiple Government Agency Computers,U.S. Attorney,
Medical Business Owner Pleads Guilty to Medicaid Fraud,U.S. Attorney,
Attorney General Announces Two Arrests,Arkansas Attorney General,
Jackson County Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
"Trousdale Co. Woman Is 2,000th TennCare Fraud Arrest",Tennessee Department of Finance & Administration,
Pierre Man Sentenced for Failure to Pay Child Support,U.S. Attorney,
Hoosier EMS Employee Pleads Guilty to Health Care Fraud,U.S. Attorney,
Attorney General Conway Announces Arrest of Caretaker for Patient Neglect,Kentucky Attorney General,
New Albany Nurse Charged with Illegally Obtaining Patient's Drugs,Mississippi Attorney General,
Jefferson Co. Woman Charged With TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
Guilford Podiatrist Sentenced To 30 Months in Federal Prison for Defrauding Medicare,U.S. Attorney,
"Internist Sentenced To Six Months in Prison, Plus Home Confinement, For Taking Cash Kickbacks for Patient Referrals",U.S. Attorney,
Physician Sentenced to 48 Months in Federal Prison for Role in Health Care Fraud Conspiracy,U.S. Attorney,
Former Owner of Salt Lake City Medical Equipment Supply Company Indicted and Three Company Employees Plead Guilty for Roles in Medicare Fraud Scheme,U.S. Department of Justice,
Two Plead Guilty To Money Laundering Conspiracy in $10.5 Million Medicare Fraud Scheme,U.S. Department of Justice,
Kenner Doctor Pleads Guilty To 35 Counts of Medicaid Fraud,Louisiana Attorney General,
A.G. Schneiderman Announces Sentencing and $300k Settlement In The Case Of Michigan Man Who Fraudulently Obtained Medicaid Payments in New York,New York Attorney General,
Hickman Co. Woman Charged with TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Colorado Man Indicted For Failure to Pay Child Support,U.S. Attorney,
Doctor Sentenced For Kickback Scheme Involving a Philadelphia Hospice,U.S. Attorney,
McAllen Area Ambulance Company Owner and Former Biller Indicted on Multiple Health Care Crimes,U.S. Attorney,
"Owner, Executives and Physicians at Closed Sacred Heart Hospital Indicted in Alleged Medicare Referral Kickback Conspiracy",U.S. Attorney,
Administrator and Employee of Two Miami Home Health Companies Sentenced for Role in $74 Million Health Care Fraud Scheme,U.S. Department of Justice,
Three Women Arrested In Medicaid Fraud Scheme,Louisiana Attorney General,
Dublin Doctor Sentenced on Drug Diversion Charges,U.S. Attorney,
Man Who Posed As Wellsville Doctor Sentenced For Health Care Fraud,U.S. Attorney,
Mail-Order Diabetic Supply Company and Its Owners Resolve Allegations of Civil and Criminal Fraud,U.S. Attorneys,
Kmart Corporation to Pay U.S. More Than $2.5 Million to Settle False Claims Act Allegations for Partially Filled Prescriptions,U.S. Attorney,
Nelson County Drug Store Owner Sentenced To 27 Months for Health Care Fraud and Wire Fraud,U.S. Attorney,
Sugar Land Physician Sentenced to Federal Prison for Diagnostic Testing Scam,U.S. Attorney,
Biden's Office Secures Conviction of Healthcare Professional Charged with Patient Abuse,Delaware Attorney General,
Meridian Caregiver Indicted for Exploitation of Vulnerable Person,Mississippi Attorney General,
Hamilton Co. Woman Charged With TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
Two Giles Co. Residents Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Disbarred Attorney and Her Ex-Husband Sentenced To Prison for Stealing $2.8 Million from Clients in Medicaid Planning Fraud Scheme,U.S. Attorney,
"Greenwich Doctor Pays $300,000 to Settle Allegations under The False Claims Act",U.S. Attorney,
Indictment: Wichita Chiropractor Defrauded Health Insurers,U.S. Attorney,
"Sioux City Community Health Center Pays $200,000 To Resolve False Claims Act Allegations",U.S. Attorney,
Operators of Michigan Adult Day Care Centers Convicted in $3.2 Million Medicare Fraud Scheme,U.S. Department of Justice,
Attorney General Swanson Asks Federal Agency to Investigate Complaints against Humana by Medicare Patients,Minnesota Attorney General,
Greenville Resident Arrested for Jury Tampering,Mississippi Attorney General,
Attorney General Koster announces guilty plea in Greene County Medicaid fraud case,Missouri Attorney General,
Former Co-Owner of RGV DME Biller Sentenced to Federal Prison for Health Care Fraud Scheme,Texas Attorney General,
Cuccinelli Announces $37 Million Virginia Medicaid Fraud Settlement with McKesson Corp. For Inflating Prices of 400+ Drugs,Virginia Attorney General,
Cahokia Woman Pleads Guilty To Health Care Fraud,U.S. Attorney,
Father and Son Convicted on Conspiracy and Health Care Fraud Charges,U.S. Attorney,
Former R.I Doctor to Pay $1.2 Million for Fraudulent Billings to Medicare and Medicaid,U.S. Attorney,
Hospice Owner Convicted in Multi-Million Dollar Health Care Fraud,U.S. Attorney,
Boston Scientific and Subsidiaries to pay $30 Million for Guidant's Sale of Defective Heart Devices for Use in Medicare Patients,U.S. Department of Justice,
